iter	Passed	Remaining
399	23167	11583
400	23218	11522
401	23270	11461
402	23321	11400
403	23371	11338
404	23419	11276
405	23470	11215
406	23522	11154
407	23571	11092
408	23621	11031
409	23671	10969
410	23722	10909
411	23774	10848
412	23824	10787
413	23884	10730
414	23941	10672
415	23992	10612
416	24048	10553
417	24098	10492
418	24149	10432
419	24199	10371
420	24250	10310
421	24299	10249
422	24350	10189
423	24400	10128
424	24448	10066
425	24498	10006
426	24552	9947
427	24602	9886
428	24652	9826
429	24703	9766
430	24754	9706
431	24804	9646
432	24906	9605
433	24994	9560
434	25090	9517
435	25191	9475
436	25305	9439
437	25422	9403
438	25544	9368
439	25637	9322
440	25764	9289
441	25865	9245
442	25984	9209
443	26105	9172
444	26194	9123
445	26307	9083
446	26409	9039
447	26524	8999
448	26637	8958
449	26755	8918
450	26857	8873
451	26972	8831
452	27096	8792
453	27210	8750
454	27327	8708
455	27439	8665
456	27549	8620
457	27660	8576
458	27778	8533
459	27893	8489
460	28003	8443
461	28111	8396
462	28219	8349
463	28302	8295
464	28349	8230
465	28400	8166
466	28450	8102
467	28502	8039
468	28554	7975
469	28606	7912
470	28658	7849
471	28706	7784
472	28757	7721
473	28813	7659
474	28866	7596
475	28914	7532
476	28967	7469
477	29018	7406
478	29068	7343
479	29119	7279
480	29170	7216
481	29240	7158
482	29289	7095
483	29340	7031
484	29389	6968
485	29438	6905
486	29488	6842
487	29539	6779
488	29591	6717
489	29642	6654
490	29693	6591
491	29748	6530
492	29799	6467
493	29849	6404
494	29898	6342
495	29949	6279
496	30003	6217
497	30055	6155
498	30103	6093
499	30154	6030
500	30223	5972
501	30278	5910
502	30328	5848
503	30378	5786
504	30426	5723
505	30481	5662
506	30536	5601
507	30584	5539
508	30636	5477
509	30687	5415
510	30737	5353
511	30788	5291
512	30838	5229
513	30888	5168
514	30940	5106
515	30992	5045
516	31041	4983
517	31091	4921
518	31139	4859
519	31189	4798
520	31255	4739
521	31311	4678
522	31362	4617
523	31415	4556
524	31469	4495
525	31522	4434
526	31572	4373
527	31622	4312
528	31674	4251
529	31722	4189
530	31771	4128
531	31818	4067
532	31868	4005
533	31916	3944
534	31968	3884
535	32021	3823
536	32072	3762
537	32125	3702
538	32176	3641
539	32224	3580
540	32285	3520
541	32343	3461
542	32394	3400
543	32445	3339
544	32500	3279
545	32551	3219
546	32601	3158
547	32650	3098
548	32701	3037
549	32750	2977
550	32800	2916
551	32850	2856
552	32899	2796
553	32951	2736
554	33005	2676
555	33053	2615
556	33105	2555
557	33157	2495
558	33206	2435
559	33257	2375
560	33310	2315
561	33375	2256
562	33425	2196
563	33478	2136
564	33530	2077
565	33578	2017
566	33626	1957
567	33677	1897
568	33730	1837
569	33779	1777
570	33829	1718
571	33877	1658
572	33934	1599
573	33986	1539
574	34040	1480
575	34093	1420
576	34146	1361
577	34198	1301
578	34247	1242
579	34299	1182
580	34361	1123
581	34416	1064
582	34466	1005
583	34520	945
584	34572	886
585	34624	827
586	34674	767
587	34724	708
588	34773	649
589	34820	590
590	34871	531
591	34924	471
592	34975	412
593	35022	353
594	35071	294
595	35123	235
596	35175	176
597	35224	117
598	35276	58
599	35325	0
