iter	F1	Logloss
0	0.0001233806292	0.6779609611
1	0	0.6637833852
2	0	0.6505395387
3	0	0.6381488869
4	0	0.6265592834
5	0	0.6157240122
6	0	0.6056278074
7	0	0.5961880525
8	0	0.5873652013
9	0	0.5791103388
10	0	0.5713823831
11	0	0.564177208
12	0	0.5574311134
13	0	0.5511295236
14	0	0.5452170088
15	0	0.5397267575
16	0	0.5345610589
17	0	0.5297490739
18	0	0.5252570642
19	0	0.5210375467
20	0	0.5170975227
21	0	0.5134356457
22	0	0.509980426
23	0	0.5067765842
24	0	0.5037513832
25	0	0.5009501384
26	0	0.4983184647
27	0	0.4958522098
28	0	0.4935376305
29	0	0.491366816
30	0	0.4893374495
31	0	0.4874261932
32	0	0.4856530764
33	0	0.4839762089
34	0	0.4824109818
35	0	0.4809433255
36	0	0.4795731444
37	0	0.4782852107
38	0	0.4770703504
39	0	0.4759564618
40	0	0.4748817242
41	0	0.4738867026
42	0	0.4729498099
43	0	0.4720695854
44	0	0.4712594732
45	0	0.4705061524
46	0	0.4697826186
47	0	0.4691199549
48	0	0.4684728977
49	0	0.4678781949
50	0	0.4673188658
51	0	0.4667843446
52	0	0.4662836364
53	0	0.465826293
54	0	0.4653744106
55	0	0.4649515057
56	0	0.464558807
57	0	0.464199555
58	0	0.4638505424
59	0	0.4635087076
60	0	0.4631967258
61	0	0.4628995162
62	0	0.4626326661
63	0	0.4623816686
64	0	0.4621416448
65	0	0.4619160189
66	0	0.4617043048
67	0	0.4615122545
68	0	0.461307981
69	0	0.4611137064
70	0	0.4609349706
71	0	0.4607628499
72	0	0.46060411
73	0	0.4604477793
74	0	0.4602960109
75	0	0.4601686173
76	0	0.4600388885
77	0	0.4599169457
78	0	0.4598027543
79	0	0.4596949745
80	0	0.4595706281
81	0	0.4594757792
82	0	0.4593690468
83	0	0.4592769548
84	0	0.4591716604
85	0	0.4590824424
86	0	0.4590112296
87	0	0.4589315417
88	0	0.4588611193
89	0	0.4587924437
90	0	0.4587219894
91	0	0.4586462174
92	0	0.4585840759
93	0	0.4585260257
94	0	0.458471263
